symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,vpoc,vah,val,high_to_ltp_pct,low_to_ltp_pct
VIYASH,2026,6,,262.0,278.9,241.3,276.75,5.629770992366412,59705507.0,21,2843119.380952381,10,9,1,37.599999999999966,0.14654652425274436,11.166666666666657,10.97142857142856,2026-06-23T00:00:00+05:30,2026-06-03T00:00:00+05:30,250.88799999999998,267.996,247.316,0.7649884362213251,14.143390855719623
IRCON,2026,6,,136.98,142.9,130.0,131.07,-4.314498466929476,38715366.0,21,1843588.857142857,9,11,0,12.900000000000006,0.09512105198476102,3.8338095238095193,3.459999999999993,2026-06-18T00:00:00+05:30,2026-06-11T00:00:00+05:30,138.8365,140.578,134.12800000000001,-10.483995670326273,-0.5102829751043734
BAJFINANCE,2026,6,,911.45,1010.95,860.45,1004.75,10.236436447418942,214117248.0,21,10196059.42857143,11,9,0,150.5,0.1619735092210358,23.91904761904763,21.509523809523817,2026-06-30T00:00:00+05:30,2026-06-02T00:00:00+05:30,874.7475,967.3050000000001,860.45,-0.7122932855150519,14.280733213787599
TFCILTD,2026,6,,73.06,82.28,71.2,77.07,5.488639474404587,124279247.0,21,5918059.380952381,9,11,0,11.079999999999998,0.14681237696229366,2.948095238095237,2.8980952380952383,2026-06-25T00:00:00+05:30,2026-06-01T00:00:00+05:30,75.2442,77.294,73.97,-9.502262443438916,5.243545381953683
SINDHUTRAD,2026,6,,26.52,27.08,24.12,24.82,-6.410256410256408,43072097.0,21,2051052.238095238,9,11,0,2.9599999999999973,0.11718573259935136,1.0399999999999996,1.0161904761904759,2026-06-16T00:00:00+05:30,2026-06-11T00:00:00+05:30,24.904400000000003,25.9256,24.712,-6.196078431372543,5.41176470588235
GRMOVER,2026,6,,163.0,164.32,81.95,90.71,-44.34969325153374,109386884.0,21,5208899.238095238,8,12,0,82.36999999999999,0.7623389730413435,8.47857142857143,8.363809523809525,2026-06-01T00:00:00+05:30,2026-06-11T00:00:00+05:30,91.42255,119.01650000000001,81.95,-67.70769544805061,16.360481730965503
SUVEN,2026,6,,297.95,297.95,230.6,280.65,-5.80634334619903,39026410.0,21,1858400.4761904762,10,9,1,67.35,0.2543520483401071,17.204761904761906,17.09285714285714,2026-06-01T00:00:00+05:30,2026-06-08T00:00:00+05:30,266.63225,278.4185,256.193,14.073540014419613,33.49675558759914
BLUESTARCO,2026,6,,1590.1,1717.7,1508.1,1628.3,2.402364631155276,9702583.0,21,462027.7619047619,10,10,0,209.60000000000014,0.12975229268551525,47.095238095238116,46.014285714285755,2026-06-22T00:00:00+05:30,2026-06-02T00:00:00+05:30,1572.028,1665.3,1550.02,-6.319633572666511,6.6538747214657095
ELGIRUBCO,2026,6,,47.5,52.8,43.0,44.63,-6.0421052631578895,1125631.0,21,53601.47619047619,10,10,0,9.799999999999997,0.20459086797029546,3.220952380952381,3.151904761904762,2026-06-17T00:00:00+05:30,2026-06-04T00:00:00+05:30,48.830999999999996,50.153999999999996,45.156,11.006236305410418,27.524018203269847
PAISALO,2026,6,,52.21,61.0,51.16,59.1,13.196705611951733,234808302.0,21,11181347.714285715,13,7,0,9.840000000000003,0.1694937497949409,2.0985714285714288,2.068571428571429,2026-06-09T00:00:00+05:30,2026-06-03T00:00:00+05:30,59.4748,61.0,55.489599999999996,15.745856353591167,29.337016574585643
CROMPTON,2026,6,,281.8,283.85,251.75,274.75,-2.5017743080198764,60605517.0,21,2885977.0,10,10,0,32.10000000000002,0.11945561836579194,7.6476190476190435,7.357142857142849,2026-06-01T00:00:00+05:30,2026-06-11T00:00:00+05:30,274.7015,279.035,264.59000000000003,-9.594594594594604,2.799227799227799
DWARKESH,2026,6,,44.3,47.08,42.21,43.31,-2.2347629796839614,18751829.0,21,892944.2380952381,9,11,0,4.869999999999997,0.11036410333887291,1.4585714285714286,1.441904761904762,2026-06-08T00:00:00+05:30,2026-06-25T00:00:00+05:30,44.76675,45.7164,43.3301,-10.386869871043377,1.031652989448998
ABB,2026,6,,7253.0,7327.0,6653.0,7031.0,-3.060802426582104,6738449.0,21,320878.5238095238,12,8,0,674.0,0.09563965863250289,185.16666666666666,178.6904761904762,2026-06-04T00:00:00+05:30,2026-06-11T00:00:00+05:30,7080.99,7246.12,6956.3,-7.4340175953079175,2.4486803519061584
NLCINDIA,2026,6,,350.6,352.85,305.1,322.0,-8.157444381061044,168197479.0,21,8009403.761904762,7,13,0,47.75,0.1465141254082013,11.61428571428571,11.338095238095233,2026-06-03T00:00:00+05:30,2026-06-11T00:00:00+05:30,320.14125,328.975,310.83000000000004,-16.35614179719704,-0.6100577081615903
HINDZINC,2026,6,,635.95,639.95,516.85,533.15,-16.16479282962498,91689925.0,21,4366186.904761905,8,12,0,123.10000000000002,0.21761932822628172,17.845238095238102,15.56190476190476,2026-06-01T00:00:00+05:30,2026-06-25T00:00:00+05:30,565.4745,579.6310000000001,524.236,-21.087984862819308,2.2043519394512727
CMPDI,2026,6,,238.0,268.0,220.86,247.91,4.163865546218486,96412985.0,21,4591094.523809524,12,8,0,47.139999999999986,0.19436503573391972,12.821428571428571,12.646666666666667,2026-06-24T00:00:00+05:30,2026-06-11T00:00:00+05:30,253.1509,261.8718,238.7732,-1.6460593188196826,16.233027383751804
